2633120,Summerfield Schools,633,2,Yes
3623460,PORT CHESTER-RYE UNION FREE SCHOOL DISTRICT,4622,6,Yes
5102120,KING WILLIAM CO PBLC SCHS,1730,3,No
2680340,Delta-Schoolcraft ISD,92,1,No
3904439,Miamisburg City,2308,4,No
0902220,LITCHFIELD SCHOOL DISTRICT,430,2,No
0641610,Washington Union Elementary,292,1,No
0616320,Guerneville Elementary,263,1,Yes
1921000,North Tama County Comm School District,214,1,No
3614280,HERRICKS UNION FREE SCHOOL DISTRICT,1337,1,No
2802160,JACKSON CO SCHOOL DIST,4940,6,No
0409390,Wilson Elementary District,1138,2,Yes
2600295,Crescent Academy,1056,3,Yes
3100141,EMERSON-HUBBARD PUBLIC SCHOOLS,169,1,Yes
0400746,Eduprize Schools  LLC,3477,2,No
1809810,Salem Community Schools,1898,3,Yes
3701140,Davidson County Schools,14626,29,Yes
5100240,APPOMATTOX CO PBLC SCHS,1186,2,No
4222770,State College Area SD,2217,5,Yes
1916620,Lenox Comm School District,518,2,Yes
3628890,TRI-VALLEY CENTRAL SCHOOL DISTRICT,514,1,No
4104500,Eagle Point SD 9,2186,4,No
3900120,Eagle Academy,151,1,Yes
0904710,VOLUNTOWN SCHOOL DISTRICT,276,1,Yes
2302820,Bangor Public Schools,3250,9,Yes
4102040,Bethel SD 52,2268,4,No
3904638,Blanchester Local,1087,3,Yes
1808820,Perry Township Schools,645,1,No
4000020,FRONTIER,111,1,No
1800210,Attica Consolidated School Corp,602,2,Yes
3900286,Cleveland Academy for Scholarship Technology and Leadership,164,1,Yes
5510890,Oconomowoc Area School District,1855,4,Yes
2104050,Meade County,4973,8,Yes
3901527,Chapelside Cleveland Academy,259,1,Yes
2500518,Pioneer Charter School of Science (District),674,1,Yes
4101200,Alsea SD 7J,166,1,NA
3616200,KENDALL CENTRAL SCHOOL DISTRICT,682,2,Yes
0610320,Curtis Creek Elementary,369,1,Yes
4835850,PRINCETON ISD,61,1,No
3400723,Paul Robeson Charter School for the Humanities,372,1,Yes
4016170,KELLYVILLE,957,4,Yes
1811910,Union-North United School Corp,1191,2,Yes
4837710,ROGERS ISD,1,1,No
2000015,Ottawa,2326,5,Yes
3018900,Moore H S,30,1,Yes
1732490,Prairie Du Rocher CCSD 134,147,1,Yes
3409990,Metuchen Public School District,2255,4,Yes
0403500,Globe Unified District,1698,3,No
2505490,Greenfield,381,2,No
0200540,Nenana City School District,183,1,Yes
2512270,Wellesley,2777,6,No
3175330,PAWNEE CITY PUBLIC SCHOOLS,132,1,Yes
1800183,Purdue Polytechnic High School Ind,146,1,Yes
1802850,East Allen County Schools,3932,5,No
0401290,Bouse Elementary District,22,1,No
4023800,PERKINS-TRYON,406,1,No
4215750,Montoursville Area SD,1367,3,Yes
2910350,CROCKER R-II,541,2,Yes
4220100,Red Lion Area SD,1920,2,No
0400796,CAFA  Inc. dba Learning Foundation and Performing Arts Alta,227,1,Yes
2632220,South Lake Schools,796,3,Yes
3414520,SADDLE RIVER SCHOOL DISTRICT,147,1,No
3100176,JOHNSON CO CENTRAL PUBLIC SCHS,382,3,Yes
3000094,West Glacier Elem,63,1,No
2718330,LUVERNE PUBLIC SCHOOL DISTRICT,1286,5,Yes
1802640,M S D Decatur Township,6825,9,Yes
2700208,NORTH SHORE COMMUNITY SCHOOL,363,1,Yes
2713930,HERON LAKE-OKABENA SCHOOL DISTRICT,315,2,Yes
3405640,Freehold Township School District,1351,3,Yes
3007030,Cohagen Elem,15,1,Yes
5103900,WASHINGTON CO PBLC SCHS,3364,7,Yes
5007230,Shaftsbury School District,219,1,Yes
0627480,North County Joint Union School District,743,1,Yes
4027330,SENTINEL,228,1,Yes
0405320,Morenci Unified District,1382,3,No
1735970,Indian Creek CUSD 425,724,3,NA
1000270,Delmar School District,673,1,No
0638980,Temple City Unified,5838,8,Yes
2010260,Osawatomie,1185,4,Yes
4018480,LOWREY,148,1,Yes
0100210,Auburn City,3543,7,Yes
4502610,Laurens 55,1498,1,No
4824030,HUNTSVILLE ISD,2071,3,No
3800401,PARK RIVER AREA 8,182,1,No
2922710,NORTH ANDREW CO. R-VI,358,3,Yes
1200900,HOLMES,3268,7,Yes
3700078,Evergreen Community Charter,441,1,Yes
3601145,COLLEGIATE ACADEMY-MATH-PERSONAL AWA,66,1,Yes
5103480,SCOTT CO PBLC SCHS,1528,4,No
3200420,PERSHING COUNTY SCHOOL DISTRICT,484,3,Yes
4021600,NINNEKAH,433,2,Yes
2700100,FILLMORE CENTRAL,695,3,Yes
2801510,FORREST COUNTY AG HIGH SCHOOL,588,1,Yes
4800063,SOUTHWEST PREPARATORY SCHOOL,884,6,Yes
5514670,Superior School District,404,2,No
3612030,GERMANTOWN CENTRAL SCHOOL DISTRICT,553,2,Yes
0614760,Fullerton Joint Union High School District,8940,6,Yes
4020250,MOORE,7317,13,No
1600330,BLISS JOINT DISTRICT,135,1,Yes
2928260,SIKESTON R-6,2870,6,Yes
1601680,KENDRICK JOINT DISTRICT,245,2,Yes
2715000,INTERNATIONAL FALLS SCHOOL DISTRICT,1095,2,Yes
0903630,REGIONAL SCHOOL DISTRICT 04,910,2,Yes
0905010,WESTON SCHOOL DISTRICT,1520,3,Yes
4018270,LONE WOLF,114,2,Yes
4823160,HIGH ISLAND ISD,142,1,Yes
1927240,Stanton Comm School District,117,1,Yes
3415420,Southampton Township School District,721,3,Yes
2503390,Central Berkshire,535,1,No
3904721,Newbury Local,136,1,Yes
4700510,Carter County,5011,14,Yes
2101020,Carter County,7,1,No
2006580,Goodland,873,3,Yes
1100104,Breakthrough Montessori PCS,125,1,No
0400274,AIBT Non-Profit Charter High School - Phoenix,158,1,Yes
2616380,Grand Haven Area Public Schools,1585,5,Yes
3500117,CESAR CHAVEZ COMMUNITY  SCHOOL,202,1,Yes
2603900,Bangor Township Schools,1595,3,No
0901740,GRISWOLD SCHOOL DISTRICT,552,2,No
0902640,NAUGATUCK SCHOOL DISTRICT,1685,2,No
4206590,Conneaut SD,895,3,Yes
2740860,UPSALA PUBLIC SCHOOL DISTRICT,366,2,Yes
5102520,MONTGOMERY CO PBLC SCHS,6665,12,No
5515600,Waterford UHS School District,1108,1,Yes
5510060,Mukwonago School District,2507,4,No
0634320,San Diego Unified,86840,149,Yes
2900611,LA SALLE CHARTER SCHOOL,125,1,Yes
3606720,CATSKILL CENTRAL SCHOOL DISTRICT,413,1,No
4020280,MOORELAND,540,2,Yes
5401140,POCAHONTAS COUNTY SCHOOLS,439,2,No
3623010,PINE BUSH CENTRAL SCHOOL DISTRICT,5095,7,Yes
3904700,Reynoldsburg City,7509,14,Yes
1725000,Massac UD 1,1678,5,Yes
1305640,Wheeler County,1000,3,Yes
5303780,Kahlotus School District,49,1,Yes
3904863,Newton Local,341,1,Yes
2504440,East Bridgewater,601,1,Yes
1734740,Schaumburg CCSD 54,6806,14,Yes
4226550,Wilson Area SD,1282,3,Yes
0806090,Pritchett School District No. Re-3,42,3,Yes
3303810,Holderness School District,172,1,Yes
3303240,Goffstown School District,645,2,No
0100038,Pathway Inc,164,1,NA
4813260,CELESTE ISD,488,3,Yes
5604260,Uinta County School District #6,219,1,No
3900383,Oakstone Community School,77,1,No
5514820,Thorp School District,602,2,Yes
3416560,UPPER FREEHOLD REGIONAL SCHOOL DISTRICT,2277,3,Yes
3900181,Hope Academy Northcoast,267,1,Yes
0600036,Natomas Unified,5791,10,Yes
4112990,Wallowa SD 12,91,1,Yes
5102910,PETERSBURG CITY PBLC SCHS,1300,2,No
5511580,Pepin Area School District,224,2,Yes
2608070,Carrollton Public Schools,1169,2,Yes
0634800,San Luis Coastal Unified,3031,8,Yes
3901577,Tri-State STEM+M Early College High School,58,1,No
5302400,Edmonds School District,11049,18,No
1742840,Winnetka SD 36,1633,5,NA
3100034,ASHLAND-GREENWOOD PUBLIC SCHS,472,2,No
2601100,Keys Grace Academy,448,1,Yes
2608400,Cass City Public Schools,967,2,Yes
0100330,Bessemer City,3559,7,Yes
3609330,DRYDEN CENTRAL SCHOOL DISTRICT,995,4,Yes
2600014,Ewen-Trout Creek Consolidated School District,204,1,Yes
4101710,Baker SD 5J,2600,7,No
3904768,East Holmes Local,1018,7,Yes
2927830,SEDALIA 200,181,1,No
0625110,Mission Union Elementary,128,1,NA
3900211,Constellation Schools: Puritas Community Elementary,188,1,Yes
2803810,QUITMAN CO SCHOOL DIST,1032,3,Yes
1914730,Iowa Falls Comm School District,629,2,Yes
0510290,MULBERRY SCHOOL DISTRICT,418,3,Yes
4811190,BRAZOSPORT ISD,583,2,No
4218750,Pennridge SD,2829,6,Yes
3600023,SULLIVAN WEST CENTRAL SCHOOL DISTRICT,1090,2,Yes
0400329,American Virtual Academy,11148,1,No
3700346,Southeastern Academy,215,1,No
3011420,Frazer Elem,281,2,Yes
5006630,Pownal School District,222,1,Yes
2400630,Talbot County Public Schools,3802,6,Yes
1734510,Rockford SD 205,26413,45,Yes
3700093,Thomas Jefferson Classical Academy,1291,1,Yes
0600067,Caruthers Unified,1426,3,Yes
1719420,Hollis Cons SD 328,161,1,Yes
3904468,Ravenna City,2718,6,Yes
3901335,Cesar Chavez College Preparatory School,316,1,Yes
1806630,Milan Community Schools,1150,4,Yes
2700363,UBAH MEDICAL ACADEMY CHARTER SCHOOL,300,1,Yes
2105970,Wolfe County,67,2,No
1720180,Iroquois West CUSD 10,979,5,Yes
4218510,Parkland SD,5363,5,No
2929250,ST. JAMES R-I,1835,3,Yes
0600158,Turlock Unified,2989,2,No
0600027,Lake Elsinore Unified,645,1,NA
1740800,Warren Twp HSD 121,4025,1,Yes
3809410,HETTINGER 13,219,1,Yes
3608460,CORTLAND CITY SCHOOL DISTRICT,2242,6,Yes
3800056,FORDVILLE-LANKIN 5,39,2,No
2509060,Norwood,2275,4,No
5306750,Pioneer School District,809,2,Yes
2200020,Louisiana Special Education Center,36,1,NA
3904991,Osnaburg Local,593,2,Yes
4218580,Penn-Delco SD,2000,3,No
4815910,CROWLEY ISD,31,1,No
5303000,Garfield School District,126,3,Yes
3904651,Colonel Crawford Local,260,1,No
1301290,Cobb County,217,2,NA
3415690,Stafford Township School District,2037,4,Yes
2010500,Paola,643,1,No
2636240,Whitefish Township Schools,45,1,Yes
3600134,URBAN CHOICE CHARTER SCHOOL,395,1,Yes
4800066,TEXAS EMPOWERMENT ACADEMY,341,2,Yes
5304890,McCleary School District,348,1,Yes
5511970,Port Edwards School District,427,3,Yes
3618690,WILLIAM FLOYD UNION FREE SCHOOL DISTRICT,5925,8,Yes
4819830,FRENSHIP ISD,3973,4,No
1807440,New Castle Community School Corp,246,1,No
4217220,North Hills SD,3218,4,No
4800260,KIPP DALLAS-FORT WORTH,116,1,No
5602070,Park County School District # 6,622,2,Yes
1600720,CHALLIS JOINT DISTRICT,355,2,Yes
4808520,AQUILLA ISD,322,1,Yes
2105790,Wayne County,89,3,No
2604950,Benzie County Central Schools,839,3,No
2601950,Adrian Public Schools,70,1,NA
3904701,Hilliard City,10389,13,No
3620190,NANUET UNION FREE SCHOOL DISTRICT,1038,3,Yes
3904662,Ansonia Local,715,3,Yes
3415900,Summit Public School District,2831,5,Yes
3100172,WEST HOLT PUBLIC SCHOOLS,204,3,No
3904963,Northwest Local,1440,3,Yes
4019980,MILBURN,181,1,Yes
4818720,EUSTACE ISD,1557,4,Yes
3626730,SHERMAN CENTRAL SCHOOL DISTRICT,413,2,Yes
4223820,Tulpehocken Area SD,394,1,No
4014340,HENNESSEY,650,2,Yes
0604230,Bear Valley Unified,745,1,No
0605910,Brentwood Union Elementary,5344,6,No
4218840,Pennsbury SD,4175,8,Yes
1903450,North Butler Comm School District,263,1,No
3171520,HARTINGTON NEWCASTLE PUBLIC SCHOOLS,140,1,No
3409950,Area Vocational Technical Schools of Mercer County,458,4,No
3500106,NORTH VALLEY CHARTER,495,1,Yes
5100780,CHARLOTTESVILLE CTY PBLC SCHS,2656,5,No
0601323,SBE - Lifeline Education Charter,654,1,Yes
3100163,CHASE COUNTY SCHOOLS,475,2,Yes
3616620,LAKELAND CENTRAL SCHOOL DISTRICT,4228,5,Yes
3100134,WILCOX-HILDRETH PUBLIC SCHOOLS,65,1,No
0642060,West Park Elementary,654,2,Yes
4620100,Eagle Butte School District 20-1,224,1,Yes
3703310,Craven County Schools,730,2,No
3100003,EAST BUTLER PUBLIC SCHOOLS,148,1,No
1728500,Niles ESD 71,594,1,Yes
0500021,IZARD CO. CONS. SCHOOL DIST.,485,3,Yes
2308280,Millinocket Public Schools,468,2,Yes
3601091,ICAHN CHARTER SCHOOL 7,280,1,Yes
4200098,Lehigh Valley Academy Regional CS,1721,1,Yes
0904230,SOUTHINGTON SCHOOL DISTRICT,4717,7,No
0803120,Fremont RE-3,212,2,Yes
4700154,Lakeland,1596,2,Yes
5400690,LOGAN COUNTY SCHOOLS,2390,11,Yes
3611940,GENESEO CENTRAL SCHOOL DISTRICT,853,2,Yes
5512660,Reedsburg School District,2829,7,Yes
1906660,Center Point-Urbana Comm School District,837,2,No
4503360,Richland 01,7830,20,Yes
3304290,Lisbon Regional School District,340,3,Yes
2006960,Haven Public Schools,871,6,Yes
4028590,STERLING,393,2,Yes
4703480,Putnam County,77,1,NA
